item_nbr,family,class,perishable,label
96995,GROCERY I,1093,0,0.0
99197,GROCERY I,1067,0,0.0
103520,GROCERY I,1028,0,4.0
105574,GROCERY I,1045,0,3.0
105575,GROCERY I,1045,0,3.0
105576,GROCERY I,1045,0,3.0
105577,GROCERY I,1045,0,3.0
105693,GROCERY I,1034,0,4.0
105737,GROCERY I,1044,0,4.0
105857,GROCERY I,1092,0,4.0
106716,GROCERY I,1032,0,4.0
108079,GROCERY I,1030,0,0.0
108634,GROCERY I,1075,0,0.0
108797,GROCERY I,1004,0,6.0
108862,GROCERY I,1062,0,0.0
111223,GROCERY I,1034,0,4.0
111397,GROCERY I,1072,0,8.0
112830,GROCERY I,1044,0,4.0
114778,GROCERY I,1016,0,6.0
114790,GROCERY I,1004,0,6.0
115611,GROCERY I,1014,0,9.0
115693,GROCERY I,1040,0,6.0
115720,GROCERY I,1084,0,1.0
115850,GROCERY I,1004,0,6.0
115891,GROCERY I,1016,0,6.0
115892,GROCERY I,1016,0,6.0
115893,GROCERY I,1016,0,6.0
115894,GROCERY I,1016,0,6.0
116017,GROCERY I,1072,0,8.0
116018,GROCERY I,1072,0,8.0
116279,GROCERY I,1056,0,4.0
119141,GROCERY I,1042,0,1.0
122418,GROCERY I,1004,0,6.0
122419,GROCERY I,1004,0,6.0
123601,GROCERY I,1072,0,8.0
123602,GROCERY I,1072,0,8.0
123927,GROCERY I,1026,0,4.0
125430,GROCERY I,1016,0,6.0
127534,GROCERY I,1032,0,4.0
129296,GROCERY I,1032,0,4.0
129297,GROCERY I,1032,0,4.0
129758,GROCERY I,1032,0,4.0
129759,GROCERY I,1032,0,4.0
153267,GROCERY I,1096,0,4.0
155499,GROCERY I,1013,0,8.0
155500,GROCERY I,1014,0,9.0
155600,GROCERY I,1034,0,4.0
155601,GROCERY I,1034,0,4.0
155607,GROCERY I,1034,0,4.0
155610,GROCERY I,1034,0,4.0
155621,GROCERY I,1062,0,0.0
155625,GROCERY I,1092,0,4.0
157956,GROCERY I,1030,0,0.0
158875,GROCERY I,1026,0,4.0
161288,GROCERY I,1072,0,8.0
162066,GROCERY I,1048,0,4.0
164036,GROCERY I,1048,0,4.0
164037,GROCERY I,1048,0,4.0
165594,GROCERY I,1014,0,9.0
165693,GROCERY I,1066,0,1.0
165704,GROCERY I,1016,0,6.0
165705,GROCERY I,1016,0,6.0
165727,GROCERY I,1032,0,4.0
165988,GROCERY I,1072,0,8.0
168989,GROCERY I,1028,0,4.0
169028,GROCERY I,1040,0,6.0
170791,GROCERY I,1080,0,7.0
172184,GROCERY I,1058,0,6.0
172343,GROCERY I,1004,0,6.0
173111,GROCERY I,1058,0,6.0
177395,GROCERY I,1032,0,4.0
179274,GROCERY I,1032,0,4.0
179564,GROCERY I,1032,0,4.0
179579,GROCERY I,1032,0,4.0
179600,GROCERY I,1006,0,0.0
205381,GROCERY I,1034,0,4.0
205387,GROCERY I,1034,0,4.0
205557,GROCERY I,1062,0,0.0
207857,GROCERY I,1010,0,1.0
208514,GROCERY I,1010,0,1.0
208659,GROCERY I,1078,0,4.0
208699,GROCERY I,1034,0,4.0
210798,GROCERY I,1074,0,4.0
211203,GROCERY I,1072,0,8.0
211205,GROCERY I,1072,0,8.0
211206,GROCERY I,1072,0,8.0
211999,GROCERY I,1036,0,4.0
212550,GROCERY I,1036,0,4.0
212552,GROCERY I,1044,0,4.0
213066,GROCERY I,1074,0,4.0
213652,GROCERY I,1048,0,4.0
213653,GROCERY I,1048,0,4.0
213788,GROCERY I,1096,0,4.0
215303,GROCERY I,1026,0,4.0
215304,GROCERY I,1026,0,4.0
215327,GROCERY I,1040,0,6.0
215331,GROCERY I,1040,0,6.0
215332,GROCERY I,1040,0,6.0
215352,GROCERY I,1016,0,6.0
215356,GROCERY I,1016,0,6.0
215896,GROCERY I,1044,0,4.0
217827,GROCERY I,1045,0,3.0
220432,GROCERY I,1080,0,7.0
220435,GROCERY I,1080,0,7.0
222879,GROCERY I,1058,0,6.0
222975,GROCERY I,1072,0,8.0
223068,GROCERY I,1030,0,0.0
223136,GROCERY I,1072,0,8.0
223434,GROCERY I,1032,0,4.0
223463,GROCERY I,1026,0,4.0
226857,GROCERY I,1035,0,0.0
229368,GROCERY I,1086,0,4.0
246052,GROCERY I,1039,0,4.0
253145,GROCERY I,1096,0,4.0
255161,GROCERY I,1034,0,4.0
255198,GROCERY I,1044,0,4.0
255199,GROCERY I,1044,0,4.0
255202,GROCERY I,1045,0,3.0
258395,GROCERY I,1002,0,0.0
258396,GROCERY I,1010,0,1.0
260669,GROCERY I,1034,0,4.0
260893,GROCERY I,1072,0,8.0
261052,GROCERY I,1072,0,8.0
261053,GROCERY I,1072,0,8.0
261700,GROCERY I,1048,0,4.0
262358,GROCERY I,1044,0,4.0
262991,GROCERY I,1034,0,4.0
263583,GROCERY I,1074,0,4.0
265237,GROCERY I,1060,0,1.0
265254,GROCERY I,1016,0,6.0
265257,GROCERY I,1016,0,6.0
265258,GROCERY I,1016,0,6.0
265559,GROCERY I,1072,0,8.0
265672,GROCERY I,1056,0,4.0
268662,GROCERY I,1028,0,4.0
268664,GROCERY I,1028,0,4.0
268676,GROCERY I,1062,0,0.0
268834,GROCERY I,1056,0,4.0
273859,GROCERY I,1044,0,4.0
276560,GROCERY I,1087,0,0.0
278806,GROCERY I,1032,0,4.0
279125,GROCERY I,1032,0,4.0
279137,GROCERY I,1086,0,4.0
279494,GROCERY I,1062,0,0.0
302995,GROCERY I,1084,0,1.0
302997,GROCERY I,1096,0,4.0
302998,GROCERY I,1096,0,4.0
305074,GROCERY I,1044,0,4.0
305079,GROCERY I,1044,0,4.0
305080,GROCERY I,1045,0,3.0
305081,GROCERY I,1045,0,3.0
305227,GROCERY I,1013,0,8.0
305229,GROCERY I,1014,0,9.0
305234,GROCERY I,1044,0,4.0
305237,GROCERY I,1044,0,4.0
305341,GROCERY I,1092,0,4.0
305344,GROCERY I,1092,0,4.0
305345,GROCERY I,1092,0,4.0
308726,GROCERY I,1084,0,1.0
310671,GROCERY I,1034,0,4.0
310790,GROCERY I,1034,0,4.0
312324,GROCERY I,1044,0,4.0
312596,GROCERY I,1035,0,0.0
313094,GROCERY I,1042,0,1.0
313641,GROCERY I,1074,0,4.0
314384,GROCERY I,1004,0,6.0
315220,GROCERY I,1014,0,9.0
315221,GROCERY I,1014,0,9.0
315277,GROCERY I,1040,0,6.0
315279,GROCERY I,1040,0,6.0
315320,GROCERY I,1066,0,1.0
315322,GROCERY I,1084,0,1.0
315460,GROCERY I,1016,0,6.0
315712,GROCERY I,1072,0,8.0
315713,GROCERY I,1072,0,8.0
315753,GROCERY I,1030,0,0.0
318787,GROCERY I,1040,0,6.0
320681,GROCERY I,1080,0,7.0
320682,GROCERY I,1080,0,7.0
323013,GROCERY I,1058,0,6.0
323217,GROCERY I,1030,0,0.0
323227,GROCERY I,1030,0,0.0
326951,GROCERY I,1016,0,6.0
329070,GROCERY I,1032,0,4.0
329071,GROCERY I,1032,0,4.0
329361,GROCERY I,1032,0,4.0
329362,GROCERY I,1032,0,4.0
329364,GROCERY I,1032,0,4.0
329365,GROCERY I,1032,0,4.0
346065,GROCERY I,1039,0,4.0
346066,GROCERY I,1039,0,4.0
346406,GROCERY I,1039,0,4.0
354918,GROCERY I,1034,0,4.0
354919,GROCERY I,1034,0,4.0
354922,GROCERY I,1034,0,4.0
354964,GROCERY I,1030,0,0.0
354971,GROCERY I,1044,0,4.0
355090,GROCERY I,1024,0,4.0
355091,GROCERY I,1038,0,4.0
358096,GROCERY I,1002,0,0.0
358100,GROCERY I,1010,0,1.0
358264,GROCERY I,1078,0,4.0
358515,GROCERY I,1024,0,4.0
358519,GROCERY I,1084,0,1.0
360703,GROCERY I,1072,0,8.0
360704,GROCERY I,1072,0,8.0
360705,GROCERY I,1072,0,8.0
361502,GROCERY I,1036,0,4.0
362035,GROCERY I,1044,0,4.0
362548,GROCERY I,1042,0,1.0
363868,GROCERY I,1016,0,6.0
363889,GROCERY I,1058,0,6.0
364606,GROCERY I,1014,0,9.0
364724,GROCERY I,1084,0,1.0
364829,GROCERY I,1040,0,6.0
364832,GROCERY I,1040,0,6.0
364834,GROCERY I,1040,0,6.0
365138,GROCERY I,1072,0,8.0
365139,GROCERY I,1072,0,8.0
365140,GROCERY I,1072,0,8.0
368136,GROCERY I,1040,0,6.0
368139,GROCERY I,1040,0,6.0
368140,GROCERY I,1040,0,6.0
368260,GROCERY I,1028,0,4.0
368270,GROCERY I,1076,0,8.0
368424,GROCERY I,1078,0,4.0
369432,GROCERY I,1036,0,4.0
370042,GROCERY I,1080,0,7.0
371434,GROCERY I,1058,0,6.0
372480,GROCERY I,1072,0,8.0
372924,GROCERY I,1002,0,0.0
372937,GROCERY I,1032,0,4.0
374464,GROCERY I,1016,0,6.0
376194,GROCERY I,1016,0,6.0
378330,GROCERY I,1032,0,4.0
378332,GROCERY I,1032,0,4.0
401817,GROCERY I,1078,0,4.0
402174,GROCERY I,1096,0,4.0
402175,GROCERY I,1096,0,4.0
404332,GROCERY I,1044,0,4.0
404333,GROCERY I,1044,0,4.0
404334,GROCERY I,1044,0,4.0
